#{"t_start": 1719057678.082829, "env_id": "LunarLander-v2"}
r,l,t
11.337091,125,12.150648
-197.781137,292,12.208845
75.309988,1000,12.881891
-50.050034,128,12.908477
-3.120369,184,12.944937
-118.450081,256,12.995346
-8.412975,146,13.023673
-262.400351,299,13.081052
-18.335557,123,13.105558
9.780892,260,13.718088
3.312789,130,13.746137
103.059461,1000,13.964936
-30.806258,226,14.011833
-240.949583,333,14.078857
-58.745822,211,14.56784
12.141851,161,14.601715
-17.141401,233,14.650033
31.808947,176,14.68803
-1.925182,205,14.731193
16.997025,169,14.76632
-73.153219,222,14.811979
-22.094024,195,14.851336
-12.695512,142,14.879438
-85.531874,497,14.977766
-50.248619,638,15.589671
3.910703,214,15.633876
-73.891694,272,15.691488
-43.942996,210,15.733263
15.263049,245,15.783254
-8.325789,199,15.824043
70.232314,1000,16.489529
-171.10313,825,16.660472
-97.042195,387,16.736425
127.645771,1000,17.399053
-41.171509,460,17.493084
166.160084,1000,18.220312
-111.266219,342,18.306609
-103.307539,310,18.374219
-188.300145,441,18.464583
-54.40806,317,18.529654
-100.41703,264,18.585051
5.638332,1000,19.427079
-10.076084,194,19.468062
-15.119568,287,19.525797
-211.000003,438,19.615373
-62.353686,368,20.26825
55.203017,1000,20.508959
-64.821359,399,20.58959
-7.209872,390,20.668929
-100.416614,400,21.457971
-174.878366,622,21.598722
13.199655,346,21.669149
-93.697775,236,21.717691
-63.928746,520,21.825175
127.287733,1000,22.529405
22.27184,1000,22.743287
-106.446021,638,23.426922
-111.190568,374,23.503353
-122.307031,366,23.577632
-131.269828,671,23.712403
-89.568927,437,24.303011
-86.668548,1000,24.512973
-113.397377,661,24.649915
4.068225,1000,25.406884
-22.112778,1000,25.615402
-46.927079,1000,26.361507
38.656301,1000,26.56644
-66.383707,1000,27.264267
-50.529321,1000,27.470086
-75.290782,1000,28.172131
-30.159782,1000,28.372905
-172.508971,880,29.092245
-98.84909,1000,29.29286
-177.864238,931,29.943758
-102.626997,418,30.051684
-119.12412,940,30.247809
-115.808654,857,30.876993
-81.655201,671,31.009551
-152.377108,977,31.680804
-173.231622,849,31.852782
-62.207939,1000,32.474122
-27.368769,1000,32.675468
20.167477,1000,33.320895
-12.901144,1000,33.529566
-45.522745,1000,33.726466
