#{"t_start": 1719057381.053993, "env_id": "LunarLander-v2"}
r,l,t
-216.100863,122,7.487077
-86.225985,145,7.526179
-49.569419,112,7.554614
-11.888856,107,7.581927
-113.481741,94,7.60739
-38.903263,106,7.636836
-227.374694,130,7.673847
-100.393499,83,7.698269
-16.371487,105,7.730109
-41.289511,142,7.784442
-0.232022,158,7.842681
-173.493325,155,7.884785
-167.305851,124,7.917276
-270.982496,122,7.950824
-259.868127,143,7.985709
-136.012193,117,8.01708
-121.743123,165,8.061072
-199.590195,113,8.08995
-180.732448,128,8.121714
-233.878531,125,8.15289
-102.205233,91,8.176165
-68.06907,137,8.216752
-82.194031,110,8.246351
-78.659062,117,8.280093
-177.843266,86,8.306263
-69.631969,121,8.342556
-98.125191,143,8.384091
-346.318958,154,8.425793
-77.174993,84,8.454597
-206.902421,154,8.501006
-267.317486,111,8.531771
-57.725095,95,8.563574
-95.374597,105,8.590025
-128.177881,206,8.655775
-115.66709,113,8.68577
-80.78957,113,8.712195
-108.031255,147,8.75125
-160.047106,149,8.793473
-39.384047,135,8.830874
-80.393268,134,8.867512
-18.493197,136,8.907653
-111.877003,137,8.948083
-73.694749,131,8.984241
-131.278853,130,9.020395
-41.318112,93,9.045362
-66.172761,145,9.084099
-105.121706,92,9.107474
-94.005672,135,9.141757
-125.314084,80,9.162943
-111.961951,86,9.190201
-72.832968,132,9.227359
-185.815409,119,9.257854
-28.654936,124,9.288682
-24.534187,136,9.325478
-80.524208,151,9.366292
-131.387272,139,9.403211
-78.204514,86,9.426692
-194.023748,147,9.470908
-17.066111,116,9.502084
-169.754171,84,9.524748
-230.247482,147,9.563036
-113.395652,125,9.598062
-219.872349,110,9.625206
-27.86268,183,9.672887
-149.110648,158,9.716514
-120.710127,120,9.750263
-101.352484,125,9.784978
-230.733323,159,9.827356
-161.146776,129,9.864987
-132.876627,162,9.911799
-105.898486,164,9.957737
-83.97134,146,9.997436
-137.315789,103,10.024435
-22.386274,64,10.041719
-57.856075,107,10.097985
-210.504249,146,10.143721
-116.228664,117,10.176702
-102.862204,191,10.234286
-82.815603,124,10.275371
-6.44739,167,10.322916
-144.170469,125,10.36138
-116.339936,112,10.408134
-95.565862,110,10.437783
-109.843337,127,10.480621
-166.073646,173,10.531574
-127.312768,121,10.572397
-6.84335,132,10.608935
-129.026664,171,10.656803
-62.513293,126,10.698044
-192.885159,103,10.782224
-117.551743,138,10.824457
-126.463521,127,10.869546
-119.081887,154,10.910475
-107.222376,123,10.946607
-68.214332,125,10.978611
-42.346145,1000,11.277672
-109.482148,125,11.313568
-194.494513,136,11.35136
-51.224515,173,11.395266
-205.068363,118,11.428966
-141.004198,177,11.479664
-158.193101,171,11.525287
-70.133799,140,11.563115
-116.112898,146,11.607362
-230.599431,181,11.655507
-115.839799,100,11.683721
-199.687224,167,11.728902
-15.537766,192,11.785272
-54.799846,87,11.809683
-90.694133,160,11.859883
7.672927,150,11.900981
-69.150757,157,11.945088
-88.101081,126,11.979813
-149.244212,133,12.016046
-35.282201,173,12.066972
-103.021259,113,12.097584
-117.675612,136,12.132617
-129.040213,171,12.178283
-149.184676,137,12.214102
-8.801033,99,12.240109
